behaveplus:24_hour_clock,24-hour clock
behaveplus:surface:result:intermediates:heat_sink:flame_residence_time,Flame Residence Time
behaveplus:crown:output:fire_type:transition_to_crown_fire:critical_surface_rate_of_spread,Critical Surface Rate of Spread
behaveplus:crown:result:fire_type:transition_to_crown_fire:critical_surface_rate_of_spread,Critical Surface Rate of Spread
behaveplus:crown:input:weather:wind-and-slope-are:wind-and-slope-alignment-mode,Wind and Slope Alignment Mode
behaveplus:crown:result:weather:wind-and-slope-are:wind-and-slope-alignment-mode,Wind and Slope Alignment Mode
behaveplus:surface:input:directions_of_surface_spread__wind:surface_fire_wind__spread:surface-run-in-direction-of,Surface Run In Direction Of
behaveplus:surface:result:directions_of_surface_spread__wind:surface_fire_wind__spread:surface-run-in-direction-of,Surface Run In Direction Of
behaveplus:contain:output:fire:containment:contain_status,Contain Status
behaveplus:contain:result:fire:containment:contain_status,Contain Status
behaveplus:contain:input:fire:surface_rate_of_spread_maximum:surface_fire_rate_of_spread_maximum,Surface Fire Rate of Spread (maximum)
behaveplus:contain:result:fire:surface_rate_of_spread_maximum:surface_fire_rate_of_spread_maximum,Surface Fire Rate of Spread (maximum)
behaveplus:surface:output:spot:maximum_spotting_distance:torching_trees,Torching Trees
behaveplus:surface:result:spot:maximum_spotting_distance:torching_trees,Max Spot Distance from Torching Trees
behaveplus:surface:output:fire_behavior:surface_fire:backing:fireline-intensity,Fireline Intensity
behaveplus:surface:result:fire_behavior:surface_fire:backing:fireline-intensity,Fireline Intensity
behaveplus:surface:input:fuel_moisture:dead-live-herb-and-live-woody-categories:live-herbaceous-fuel-moisture:live-herbaceous-fuel-moisture,Live Herbaceous Fuel Moisture
behaveplus:surface:result:fuel_moisture:dead-live-herb-and-live-woody-categories:live-herbaceous-fuel-moisture:live-herbaceous-fuel-moisture,Live Herbaceous Fuel Moisture
behaveplus:surface:input:fuel_models:special_case:chaparral_upland:dead_load_fraction_:dead_load_fraction_,Dead Load Fraction
behaveplus:surface:result:fuel_models:special_case:chaparral_upland:dead_load_fraction_:dead_load_fraction_,Dead Load Fraction
behaveplus:surface:output:fire_behavior:surface_fire:reaction_intensity,Reaction Intensity
behaveplus:surface:result:fire_behavior:surface_fire:reaction_intensity,Reaction Intensity
behaveplus:contain:output:fire:containment:fireline_constructed,Fireline Constructed
behaveplus:contain:result:fire:containment:fireline_constructed,Fireline Constructed
behaveplus:surface:input:size:elapsed_time:elapsed_time,Elapsed Time
behaveplus:surface:result:size:elapsed_time:elapsed_time,Elapsed Time
behaveplus:surface:output:special_case_fuel_models:chaparral:live_fuel_load:stems_10_to_30_inches,Stems 1.0 to 3.0 inches
behaveplus:surface:result:special_case_fuel_models:chaparral:live_fuel_load:stems_10_to_30_inches,Stems 1.0 to 3.0 inches
behaveplus:surface:input:wind_speed:wind_height:wind_height,Wind Measured at
behaveplus:surface:result:wind_speed:wind_height:wind_height,Wind Measured at
behaveplus:mortality:output:tree_mortality:tree_mortality:tree_crown_volume_scorched,Tree Crown Volume Scorched
behaveplus:mortality:result:tree_mortality:tree_mortality:tree_crown_volume_scorched,Tree Crown Volume Scorched
behaveplus:contain:output:fire:fire_size___at_resource_arrival_time:fire_area___at_resource_arrival_time,Fire Area at First Resource Arrival Time
behaveplus:contain:result:fire:fire_size___at_resource_arrival_time:fire_area___at_resource_arrival_time,Fire Area at First Resource Arrival Time
behaveplus:surface:input:spot:canopy_fuel:downwind_canopy_cover:downwind_canopy_cover,Downwind Canopy Cover
behaveplus:surface:result:spot:canopy_fuel:downwind_canopy_cover:downwind_canopy_cover,Downwind Canopy Cover
behaveplus:surface:input:wind_speed:wind-adjustment-factor:wind-adjustment-factor---user-input:wind-adjustment-factor,Wind Adjustment Factor
behaveplus:surface:result:wind_speed:wind-adjustment-factor:wind-adjustment-factor---user-input:wind-adjustment-factor,Wind Adjustment Factor
behaveplus:mortality:input:fuelvegetation_overstory:mortality-equation:mortality-equation,Mortality Equation
behaveplus:mortality:result:fuelvegetation_overstory:mortality-equation:mortality-equation,Mortality Equation
behaveplus:surface:input:fuel_moisture:by-size-class:100-h-fuel-moisture:100-h-fuel-moisture,100-h Fuel Moisture
behaveplus:surface:result:fuel_moisture:by-size-class:100-h-fuel-moisture:100-h-fuel-moisture,100-h Fuel Moisture
behaveplus:surface:output:special_case_fuel_models:western_aspen:surface_area_to_volume_ratio_sav:live_woody_sav,Live Woody SA/V
behaveplus:surface:result:special_case_fuel_models:western_aspen:surface_area_to_volume_ratio_sav:live_woody_sav,Live Woody SA/V
behaveplus:surface:input:fuel_models:standard:canopy-cover:canopy-cover,Canopy Cover
behaveplus:surface:result:fuel_models:standard:canopy-cover:canopy-cover,Canopy Cover
behaveplus:mortality:input:scorch:fire:surface_fire_flame_length:surface_fire_flame_length,Surface Fire Flame Length at Vector
behaveplus:mortality:result:scorch:fire:surface_fire_flame_length:surface_fire_flame_length,Surface Fire Flame Length at Vector
behaveplus:surface:output:intermediates:fuel_moisture:live_fuel_moisture_of_extinction,Live Fuel Moisture of Extinction
behaveplus:surface:result:intermediates:fuel_moisture:live_fuel_moisture_of_extinction,Live Fuel Moisture of Extinction
behaveplus:contain:input:suppression:line_construction_offset:line_construction_offset,Line Construction Offset
behaveplus:contain:result:suppression:line_construction_offset:line_construction_offset,Line Construction Offset
behaveplus:crown:topography:slope:slope,Slope
behaveplus:crown:topography:slope:slope,Slope
behaveplus:crown:input:fuel_moisture:live-woody-fuel-moisture:live-woody-fuel-moisture,Live Woody Fuel Moisture
behaveplus:crown:result:fuel_moisture:live-woody-fuel-moisture:live-woody-fuel-moisture,Live Woody Fuel Moisture
behaveplus:crown:input:calculation_options:calculate_crown_fire_using:calculate_crown_fire_using,Calculate Crown Fire using:
behaveplus:crown:result:calculation_options:calculate_crown_fire_using:calculate_crown_fire_using,Calculate Crown Fire using:
behaveplus:contain:input:suppression:tactic:tactic,Tactic
behaveplus:contain:result:suppression:tactic:tactic,Tactic
behaveplus:crown:output:fire_type:transition_to_crown_fire:critical_surface_flame_length,Critical Surface Flame Length
behaveplus:crown:result:fire_type:transition_to_crown_fire:critical_surface_flame_length,Critical Surface Flame Length
behaveplus:surface:input:spot:hidden:wind-speed:20-ft-wind-speed,Wind Speed
behaveplus:surface:result:spot:hidden:wind-speed:20-ft-wind-speed,Wind Speed
behaveplus:crown:input:spotting:canopy_fuel:canopy_height:canopy_height,Canopy Height
behaveplus:crown:result:spotting:canopy_fuel:canopy_height:canopy_height,Canopy Height
behaveplus:contain:input:fire:length_to_width_ratio:length_to_width_ratio,Length-to-Width Ratio
behaveplus:contain:result:fire:length_to_width_ratio:length_to_width_ratio,Length-to-Width Ratio
behaveplus:surface:input:size:aspect:aspect,Aspect
behaveplus:surface:result:size:aspect:aspect,Aspect
behaveplus:surface:output:special_case_fuel_models:chaparral:dead_fuel_load:from_10_inches_to_30_inches,From 1.0 Inches to 3.0 Inches
behaveplus:surface:result:special_case_fuel_models:chaparral:dead_fuel_load:from_10_inches_to_30_inches,From 1.0 Inches to 3.0 Inches
behaveplus:surface:output:size:surface___fire_size:fire_perimeter,Fire Perimeter
behaveplus:surface:result:size:surface___fire_size:fire_perimeter,Fire Perimeter
behaveplus:surface:output:special_case_fuel_models:chaparral:dead_fuel_load:from_050_inches_to_10_inches,From 0.50 Inches to 1.0 inches
behaveplus:surface:result:special_case_fuel_models:chaparral:dead_fuel_load:from_050_inches_to_10_inches,From 0.50 Inches to 1.0 inches
behaveplus:contain:input:suppression:resources:resource_duration,Resource Duration
behaveplus:contain:result:suppression:resources:resource_duration,Resource Duration
behaveplus:surface:output:fire_behavior:surface_fire:windslopespread-direction-diagram,Wind/Slope/Spread Direction Diagram
behaveplus:surface:result:fire_behavior:surface_fire:windslopespread-direction-diagram,Wind/Slope/Spread Direction Diagram
behaveplus:mortality:input:fuelvegetation_overstory:mortality_tree_species:mortality_tree_species,Mortality Tree Species
behaveplus:mortality:result:fuelvegetation_overstory:mortality_tree_species:mortality_tree_species,Mortality Tree Species
behaveplus:surface:output:special_case_fuel_models:palmetto_galberry:dead_fuel_load:medium_025_to_1_inches,Live Medium: 0.25 to 1 inches
behaveplus:surface:result:special_case_fuel_models:palmetto_galberry:dead_fuel_load:medium_025_to_1_inches,Live Medium: 0.25 to 1 inches
behaveplus:crown:output:spotting_active_crown_fire:maximum_spotting_distance:maximum_spotting_distance,Active Crown Fire
behaveplus:crown:result:spotting_active_crown_fire:maximum_spotting_distance:maximum_spotting_distance,Max Spot Distance from Active Crown Fire
behaveplus:surface:input:wind_speed:wind_and_slope_are:wind_and_slope_alignment_mode,Wind and Slope Alignment Mode
behaveplus:surface:result:wind_speed:wind_and_slope_are:wind_and_slope_alignment_mode,Wind and Slope Alignment Mode
behaveplus:crown:topography:aspect:aspect,Aspect
behaveplus:crown:topography:aspect:aspect,Aspect
behaveplus:surface:output:fire_behavior:surface_fire:direction_of_maximum_spread,Direction of Maximum Spread
behaveplus:surface:result:fire_behavior:surface_fire:direction_of_maximum_spread,Direction of Maximum Spread
behaveplus:mortality:input:scorch:fire:scorchheightorflamelength,ScorchHeightOrFlameLength
behaveplus:mortality:result:scorch:fire:scorchheightorflamelength,ScorchHeightOrFlameLength
behaveplus:surface:input:wind_speed:wind_and_slope_are:wind-direction:wind-direction-degrees,Wind Direction (degrees)
behaveplus:surface:result:wind_speed:wind_and_slope_are:wind-direction:wind-direction-degrees,Wind Direction (degrees)
behaveplus:crown:output:size:length_to_width_ratio:length_to_width_ratio,Length-to-Width Ratio
behaveplus:crown:result:size:length_to_width_ratio:length_to_width_ratio,Length-to-Width Ratio
behaveplus:surface:output:intermediates:heat_source:slope_factor,Slope Factor
behaveplus:surface:result:intermediates:heat_source:slope_factor,Slope Factor
behaveplus:surface:input:fuel_models:special_case:palmetto_gallberry:age_of_rough_years:age_of_rough_years,Age of Rough (years)
behaveplus:surface:result:fuel_models:special_case:palmetto_gallberry:age_of_rough_years:age_of_rough_years,Age of Rough (years)
behaveplus:surface:input:fuel_models:special_case:palmetto_gallberry:overstory_basal_area_ft_2_ac_m2_ha:overstory_basal_area_ft_2_ac_m2_ha,Overstory Basal Area (ft2/ac, m2/ha)
behaveplus:surface:result:fuel_models:special_case:palmetto_gallberry:overstory_basal_area_ft_2_ac_m2_ha:overstory_basal_area_ft_2_ac_m2_ha,Overstory Basal Area (ft2/ac, m2/ha)
behaveplus:surface:input:fuel_models:special_case:western_aspen:surface_fuel__understory_vegetation:surface_fuel__understory_vegetation,Surface Fuel & Understory Vegetation
behaveplus:surface:result:fuel_models:special_case:western_aspen:surface_fuel__understory_vegetation:surface_fuel__understory_vegetation,Surface Fuel & Understory Vegetation
behaveplus:surface:output:fire_behavior:surface_fire:heat_per_unit_area,Heat per Unit Area
behaveplus:surface:result:fire_behavior:surface_fire:heat_per_unit_area,Heat per Unit Area
behaveplus:surface:input:fuel_models:standard:fuel_model:fuel_model,Fuel Model Code
behaveplus:surface:result:fuel_models:standard:fuel_model:fuel_model,Fuel Model Code
behaveplus:contain:input:suppression:resources:resource_arrival_time,Resource Arrival Time
behaveplus:contain:result:suppression:resources:resource_arrival_time,Resource Arrival Time
behaveplus:surface:output:intermediates:heat_sink:heat_sink,Heat Sink
behaveplus:surface:result:intermediates:heat_sink:heat_sink,Heat Sink
behaveplus:surface:input:fuel_models:special_case:chaparral_upland:calculated_from_fuel_depth_and_type:fuelbed_depth_ft_m:fuelbed_depth_ft_m,Fuelbed Depth
behaveplus:surface:result:fuel_models:special_case:chaparral_upland:calculated_from_fuel_depth_and_type:fuelbed_depth_ft_m:fuelbed_depth_ft_m,Fuelbed Depth
behaveplus:crown:input:spotting:topography:ridge_to_valley_elevation_difference:ridge_to_valley_elevation_difference,Ridge-to-Valley Elevation Difference
behaveplus:crown:result:spotting:topography:ridge_to_valley_elevation_difference:ridge_to_valley_elevation_difference,Ridge-to-Valley Elevation Difference
behaveplus:surface:input:fuel_models:special_case:palmetto_gallberry:palmetto_coverage_:palmetto_coverage_,Palmetto Coverage (%)
behaveplus:surface:result:fuel_models:special_case:palmetto_gallberry:palmetto_coverage_:palmetto_coverage_,Palmetto Coverage (%)
behaveplus:surface:output:intermediates:fuel_moisture:characteristic_live,Characteristic Live Moisture
behaveplus:surface:result:intermediates:fuel_moisture:characteristic_live,Characteristic Live Moisture
behaveplus:surface:output:special_case_fuel_models:chaparral:live_fuel_load:stems_025_inches_to_050_inches,Stems 0.25 Inches to 0.50 Inches
behaveplus:surface:result:special_case_fuel_models:chaparral:live_fuel_load:stems_025_inches_to_050_inches,Stems 0.25 Inches to 0.50 Inches
behaveplus:surface:output:intermediates:fuel_characteristics:packing_ratio,Packing Ratio
behaveplus:surface:result:intermediates:fuel_characteristics:packing_ratio,Packing Ratio
behaveplus:mortality:input:fuelvegetation_overstory:region-code:region-code,Region Code
behaveplus:mortality:result:fuelvegetation_overstory:region-code:region-code,Region Code
behaveplus:contain:output:fire:containment:time_from_report,Time from Report
behaveplus:contain:result:fire:containment:time_from_report,Time from Report
behaveplus:surface:output:fire_behavior:surface_fire:flanking:flanking_flame_length,Flame Length
behaveplus:surface:result:fire_behavior:surface_fire:flanking:flanking_flame_length,Flame Length
behaveplus:mortality:compute-scorch-height:midflame-wind-speed:midflame-eye-level-wind-speed,Midflame (eye level) Wind Speed
behaveplus:mortality:compute-scorch-height:midflame-wind-speed:midflame-eye-level-wind-speed,Midflame (eye level) Wind Speed
behaveplus:crown:input:weather:wind-height-input-mode:wind-height,Wind Measured at
behaveplus:crown:result:weather:wind-height-input-mode:wind-height,Wind Measured at
behaveplus:crown:output:fire_type:fire_behavior:flame_length,Flame Length
behaveplus:crown:result:fire_type:fire_behavior:flame_length,Flame Length
behaveplus:surface:output:special_case_fuel_models:chaparral:dead_fuel_load:less_than_025_inches,Less than: 0.25 Inches
behaveplus:surface:result:special_case_fuel_models:chaparral:dead_fuel_load:less_than_025_inches,Less than: 0.25 Inches
behaveplus:crown:input:weather:wind-speed:20-ft-wind-speed,Wind Speed
behaveplus:crown:result:weather:wind-speed:20-ft-wind-speed,Wind Speed
behaveplus:surface:output:special_case_fuel_models:western_aspen:fuel_load:live_woody_fuel_load,Live Woody Fuel Load
behaveplus:surface:result:special_case_fuel_models:western_aspen:fuel_load:live_woody_fuel_load,Live Woody Fuel Load
behaveplus:surface:output:size:spread-distance:heading-spread-distance,Heading Spread Distance
behaveplus:surface:result:size:spread-distance:heading-spread-distance,Heading Spread Distance
behaveplus:surface:input:wind_speed:wind-adjustment-factor:wind-adjustment-factor-calculation-method,Wind Adjustment Factor Calculation Method
behaveplus:surface:result:wind_speed:wind-adjustment-factor:wind-adjustment-factor-calculation-method,Wind Adjustment Factor Calculation Method
behaveplus:crown:input:canopy_fuel:canopy_height:canopy_height,Canopy Height
behaveplus:crown:result:canopy_fuel:canopy_height:canopy_height,Canopy Height
behaveplus:surface:input:fuel_models:special_case:chaparral_upland:total_fuel_load_is:chapparal_fuel_load_method,Chaparral Fuel Load Input Mode
behaveplus:surface:result:fuel_models:special_case:chaparral_upland:total_fuel_load_is:chapparal_fuel_load_method,Chaparral Fuel Load Input Mode
behaveplus:surface:output:intermediates:fuel_characteristics:wind-speed,Wind Speed
behaveplus:surface:result:intermediates:fuel_characteristics:wind-speed,Wind Speed
behaveplus:contain:input:fire:fire_size_at_report:fire_size_at_report,Fire Size at Report
behaveplus:contain:result:fire:fire_size_at_report:fire_size_at_report,Fire Size at Report
behaveplus:surface:input:spot:topography:ridge_to_valley_elevation_difference:ridge_to_valley_elevation_difference,Ridge-to-Valley Elevation Difference
behaveplus:surface:result:spot:topography:ridge_to_valley_elevation_difference:ridge_to_valley_elevation_difference,Ridge-to-Valley Elevation Difference
behaveplus:surface:output:fire_behavior:surface_fire:backing:backing_rate_of_spread,Rate of Spread
behaveplus:surface:result:fire_behavior:surface_fire:backing:backing_rate_of_spread,Rate of Spread
behaveplus:surface:input:spot:torching_trees:dbh_diameter_at_breast_height:dbh_diameter_at_breast_height,DBH (Diameter at Breast Height)
behaveplus:surface:result:spot:torching_trees:dbh_diameter_at_breast_height:dbh_diameter_at_breast_height,DBH (Diameter at Breast Height)
behaveplus:contain:output:fire:resources:number_of_resources_used,Number of Resources Used
behaveplus:contain:result:fire:resources:number_of_resources_used,Number of Resources Used
behaveplus:crown:input:spotting:fire_behavior:active_crown_flame_length:active_crown_flame_length,Active Crown Flame Length
behaveplus:crown:result:spotting:fire_behavior:active_crown_flame_length:active_crown_flame_length,Active Crown Flame Length
behaveplus:surface:output:special_case_fuel_models:western_aspen:fuel_load:1_h_fuel_load,1-h Fuel Load
behaveplus:surface:result:special_case_fuel_models:western_aspen:fuel_load:1_h_fuel_load,1-h Fuel Load
behaveplus:crown:output:fire_type:fire_type:fire_type_required,Fire Type
behaveplus:crown:result:fire_type:fire_type:fire_type_required,Fire Type
behaveplus:surface:output:special_case_fuel_models:western_aspen:fuel_load:live_herbaceous_fuel_load,Live Herbaceous Fuel Load
behaveplus:surface:result:special_case_fuel_models:western_aspen:fuel_load:live_herbaceous_fuel_load,Live Herbaceous Fuel Load
behaveplus:surface:output:fire_behavior:surface_fire:heading:heading_flame_length,Flame Length
behaveplus:surface:result:fire_behavior:surface_fire:heading:heading_flame_length,Flame Length
behaveplus:crown:input:spotting:weather:20_ft_wind_speed:20_ft_wind_speed,Wind Speed
behaveplus:crown:result:spotting:weather:20_ft_wind_speed:20_ft_wind_speed,Wind Speed
behaveplus:surface:output:size:spread-distance:flanking-spread-distance,Flanking Spread Distance
behaveplus:surface:result:size:spread-distance:flanking-spread-distance,Flanking Spread Distance
behaveplus:surface:output:intermediates:heat_source:heat_source,Heat Source
behaveplus:surface:result:intermediates:heat_source:heat_source,Heat Source
behaveplus:crown:input:fuel_moisture:foliar_moisture:foliar_moisture,Foliar Moisture
behaveplus:crown:result:fuel_moisture:foliar_moisture:foliar_moisture,Foliar Moisture
behaveplus:crown:input:canopy_fuel:canopy_base_height:canopy_base_height,Canopy Base Height
behaveplus:crown:result:canopy_fuel:canopy_base_height:canopy_base_height,Canopy Base Height
behaveplus:surface:input:fuel_moisture:by-size-class:1-h-fuel-moisture:1-h-fuel-moisture,1-h Fuel Moisture
behaveplus:surface:result:fuel_moisture:by-size-class:1-h-fuel-moisture:1-h-fuel-moisture,1-h Fuel Moisture
behaveplus:crown:input:fuel_moisture:fuel-model-number:fuel-model-number,Fuel Model Number
behaveplus:crown:result:fuel_moisture:fuel-model-number:fuel-model-number,Fuel Model Number
behaveplus:surface:output:intermediates:heat_source:dead_fuel_reaction_intensity,Dead Fuel Reaction Intensity
behaveplus:surface:result:intermediates:heat_source:dead_fuel_reaction_intensity,Dead Fuel Reaction Intensity
behaveplus:surface:input:fuel_moisture:dead-live-herb-and-live-woody-categories:live-woody-fuel-moisture:live-woody-fuel-moisture,Live Woody Fuel Moisture
behaveplus:surface:result:fuel_moisture:dead-live-herb-and-live-woody-categories:live-woody-fuel-moisture:live-woody-fuel-moisture,Live Woody Fuel Moisture
behaveplus:surface:input:directions_of_surface_spread__wind:surface_fire_wind__spread:wind_direction:direction-of-interest-degrees:direction-of-interest,Direction of Interest
behaveplus:surface:result:directions_of_surface_spread__wind:surface_fire_wind__spread:wind_direction:direction-of-interest-degrees:direction-of-interest,Direction of Interest
behaveplus:surface:output:special_case_fuel_models:chaparral:fuel_load:total_live_fuel_load,Total Live Fuel Load
behaveplus:surface:result:special_case_fuel_models:chaparral:fuel_load:total_live_fuel_load,Total Live Fuel Load
behaveplus:crown:output:size:fire_area:fire_area,Fire Area
behaveplus:crown:result:size:fire_area:fire_area,Fire Area
behaveplus:crown:input:fuel_moisture:1-h-fuel-moisture:1-h-fuel-moisture,1-h Fuel Moisture
behaveplus:crown:result:fuel_moisture:1-h-fuel-moisture:1-h-fuel-moisture,1-h Fuel Moisture
behaveplus:mortality:output:scorch:scorch_height:scorch_height,Scorch Height
behaveplus:mortality:result:scorch:scorch_height:scorch_height,Scorch Height
behaveplus:mortality:input:fuelvegetation_overstory:dbh:dbh-diameter-at-breast-height,DBH (Diameter at Breast Height)
behaveplus:mortality:result:fuelvegetation_overstory:dbh:dbh-diameter-at-breast-height,DBH (Diameter at Breast Height)
behaveplus:surface:output:spot:maximum_spotting_distance:burning_pile,Burning Pile
behaveplus:surface:result:spot:maximum_spotting_distance:burning_pile,Max Spot Distance from Burning Pile
behaveplus:surface:output:special_case_fuel_models:palmetto_galberry:live_fuel_load:medium_025_to_1_inches,Live Medium: 0.25 to 1 inches
behaveplus:surface:result:special_case_fuel_models:palmetto_galberry:live_fuel_load:medium_025_to_1_inches,Live Medium: 0.25 to 1 inches
behaveplus:surface:input:wind_speed:wind_speed:wind_speed,Wind Speed
behaveplus:surface:result:wind_speed:wind_speed:wind_speed,Wind Speed
behaveplus:surface:input:spot:hidden:flame-length:flame-length,Flame Length
behaveplus:surface:result:spot:hidden:flame-length:flame-length,Flame Length
behaveplus:mortality:input:fuelvegetation_overstory:cambium-kill-rating:cambium-kill-rating,Cambium Kill Rating
behaveplus:mortality:result:fuelvegetation_overstory:cambium-kill-rating:cambium-kill-rating,Cambium Kill Rating
behaveplus:surface:output:special_case_fuel_models:palmetto_galberry:dead_fuel_load:fine_0_to_025_inches,Live Fine: 0 to 0.25 inches
behaveplus:surface:result:special_case_fuel_models:palmetto_galberry:dead_fuel_load:fine_0_to_025_inches,Live Fine: 0 to 0.25 inches
behaveplus:mortality:output:tree_mortality:tree_mortality:probability_of_mortality,Probability of Mortality
behaveplus:mortality:result:tree_mortality:tree_mortality:probability_of_mortality,Probability of Mortality
behaveplus:mortality:input:fuelvegetation_overstory:crown-damage:crown-damage,Crown Damage
behaveplus:mortality:result:fuelvegetation_overstory:crown-damage:crown-damage,Crown Damage
behaveplus:surface:input:fuel_models:special_case:palmetto_gallberry:understory_height_ft_m:understory_height_ft_m,Understory Height (ft, m)
behaveplus:surface:result:fuel_models:special_case:palmetto_gallberry:understory_height_ft_m:understory_height_ft_m,Understory Height (ft, m)
behaveplus:surface:output:intermediates:heat_source:live_fuel_reaction_intensity,Live Fuel Reaction Intensity
behaveplus:surface:result:intermediates:heat_source:live_fuel_reaction_intensity,Live Fuel Reaction Intensity
behaveplus:crown:output:fire_type:transition_to_crown_fire:transition_ratio,Transition Ratio
behaveplus:crown:result:fire_type:transition_to_crown_fire:transition_ratio,Transition Ratio
